Indicator,Series Code,Country,Country_Code,Year,Value
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Germany,DEU,2000,2885963533943.47
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Germany,DEU,2001,2933181986968.52
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Germany,DEU,2002,2926486831428.63
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Germany,DEU,2003,2910982263391.97
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Germany,DEU,2004,2944810405337.25
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Germany,DEU,2005,2970886268370.04
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Germany,DEU,2006,3085761005285.65
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Germany,DEU,2007,3174912263837.68
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Germany,DEU,2008,3203102383827.36
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Germany,DEU,2009,3025504625850.04
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Germany,DEU,2010,3150598283304.25
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Germany,DEU,2011,3268996785218.57
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Germany,DEU,2012,3284148978797.69
